Type	Engines	Range	Seats	Cruise Speed	Historic	Name	Family	Engine Type	Fuel Flow (lb/hr/eng)	Base Fuel (lb/hr/eng)	Taxi Fuel (lb/hr/eng)	P Tanks	P Pct	S Tanks	S Pct	O Tanks	MGW (lbs)	MZFW (lbs)	MTOW (lbs)	MLW (lbs)	TO Runway Length (ft)	Landing Runway Length (ft)
B747-100	4	6100	366	470	True	Boeing 747-100	B747	P&W JT9D	5650	6000	2000	Left Main,Right Main	90	Center	0	Left Aux,Right Aux	738000	526500	735000	564000	9990	6100
B747-200	4	7900	366	470	True	Boeing 747-200	B747	P&W JT9D	5650	6000	2500	Left Main,Right Main	90	Center	0	Left Aux,Right Aux	836000	526500	833000	630000	9990	6100
B747-300	4	7700	412	470	True	Boeing 747-300	B747	GE CF6-80E	5650	6000	2500	Left Main,Right Main	90	Center	0	Left Aux,Right Aux	836000	542680	833000	574000	9990	6100
B747-400	4	8355	446	470	False	Boeing 747-400	B747	P&W PW4060	5510	6000	2500	Left Main,Right Main	95	Center	0	Center 2,Left Aux,Right Aux	877000	555000	875000	630000	4800	5200
B747-8	4	8895	368	470	False	Boeing 747-8	B747	GENX-2B67	5500	6000	2500	Left Main,Right Main	95	Center	0	Center 2,Left Aux,Right Aux	990000	651000	987000	688000	6200	6300
B757-200	2	4500	200	470	False	Boeing 757-200	B757	P&W PW2037	3250	4000	1750	Left Main,Right Main	95	Center	0	    	256000	184000	255000	198000	5900	4850
B757-300	2	4000	243	460	False	Boeing 757-300	B757	P&W PW2037	3550	6000	2000	Left Main,Right Main	95	Center	0	    	273500	210000	272500	224000	5350	4660
B767-200	2	6000	211	460	False	B767-200	B767	JT9D	4800	5000	2100	Left Main,Right Main	100	Center	100	    	396000	260000	395000	300000	6430	2300
B767-200ER	2	6000	224	460	False	B767-200ER	B767	P&W JT9D	4800	5000	2100	Left Main,Right Main	100	Center	100	    	396000	260000	395000	300000	6430	2300
B767-300	2	4603	261	460	False	Boeing 767-300	B767	P&W PW4600	4800	5000	2000	Left Main,Right Main	95	Center	0	    	413000	278000	350000	320000	6430	5300
B767-300ER	2	6906	226	460	False	B767-300ER	B767	P&W JT9D-7R4	4800	5000	2000	Left Main,Right Main	95	Center	0	    	413000	295000	412000	320000	6430	5300
B767-400ER	2	6500	246	470	False	Boeing 767-400ER	B767	P&W PW4600	5400	5000	2000	Left Main,Right Main	90	Center	0	    	451000	330000	450000	350000	6430	2300
B777-200	2	10812	331	480	False	Boeing 777-200	B777	RR Trent 892	8300	6000	2500	Left Main,Right Main	95	Center	0	    	800000	461000	766000	492000	6999	5200
B777-200LR	2	11155	291	480	False	Boeing 777-200LR	B777	GE90-110B1	8200	6000	2500	Left Main,Right Main	99	Center	0	    	768800	461000	766800	492000	8000	5600
B777-300	2	9100	401	480	False	Boeing 777-300	B777	GE90-9	9200	6000	2500	Left Main,Right Main	95	Center	0	    	800000	524000	775000	552838	9990	6000
B787-8	2	8720	296	490	False	Boeing 787-8	B777	RR Trent 1000	5850	6000	600	Center,Center 2,Left Main,Right Main	90	Center 3,Left Aux,Right Aux	0	    	505000	355000	502500	380000	6000	6500
B787-9	2	9550	330	490	False	Boeing 787-9	B777	General Electric GEnx-1B	6300	6000	600	Center,Center 2,Left Main,Right Main	90	Center 3,Left Aux,Right Aux	0	    	560000	400000	557000	425000	7000	7200
BAE-146	4	1200	97	414	False	BAE-146	CRJ	ALF 502R-5	1025	4100	700	Left Main,Right Main	100	Center	0	    	101500	97500	97500	84500	4500	3000
BE58	2	942	6	195	False	Beechcraft G58 Baron	E120	Continental IO-550-C	153	120	5	Left Main,Right Main	100	    	0	    	5524	4530	5500	5400	2300	1950
C172	1	736	4	115	False	Cessna 172 Skyhawk	E120	Lycoming IO-360-L2A	100	100	12	Left Main,Right Main	100	    	0	    	2550	2032	2550	2550	1525	1250
C-46	1	2878	40	170	True	Curtis C-46 Commando	DC6	P&W R-2800-51	550	8436	300	Left Main,Right Main	100	Left Aux,Right Aux	0	    	48000	42500	45000	44000	3500	3500
C90	2	1009	8	272	False	Beechcraft King Air 90	E120	P&W PT6A-135A	385	200	20	Left Main,Right Main	100	Left Aux,Right Aux	99	    	10545	8133	10485	9832	1984	2100
Caravelle	2	1500	80	445	True	Caravelle III	DC9	Rolls-Royce Avon Mk.527 turbojet	3000	2500	1500	Center,Left Main,Right Main	0	    	0	    	106922	80467	105820	100750	6320	5170
Comet	4	2800	44	400	True	de Havilland Comet	707	Rolls-Royce Avon Mk 524	2100	1400	400	Center,Left Main,Right Main	100	    	0	    	175000	90000	162000	120000	0	0
Concorde	4	4488	108	1100	True	Concorde	CONC	RR Olympus	11000	25000	3000	Center,Center 2	75	Left Main,Left Aux,Right Main,Right Aux	0	    	410676	203000	408000	245000	9515	6500
Constellation	4	3999	86	240	True	Constellation	DC6	Wright R-3350-DA3 Turbo Compound	640	250	100	Center,Left Main,Right Main	90	Center 2,Center 3	90	External,External 2	141000	85000	137500	85000	4600	3550
CRJ-1000	2	1800	92	447	False	Bombardier CRJ-1000	CRJ	GE CF34-8C5A1	2800	2000	1000	Left Main,Right Main	100	Center	0	    	92300	77500	91800	81500	5000	3500
CRJ-200	2	2000	50	420	False	Bombardier CRJ-200	CRJ	GE CF34-3B1	1625	2000	1000	Left Main,Right Main	100	Center	0	    	53250	44000	53000	47000	4800	4000
CRJ-700	2	1983	70	440	False	Bombardier CRJ-700	CRJ	GE CF34-8C1	1800	2250	400	Left Main,Right Main	100	Center	0	    	81000	62300	77000	67600	5000	3450
CRJ-900	2	2104	82	420	False	Bombardier CRJ-900	CRJ	GE CF34-8C1	2800	2000	1000	Center,Left Main,Right Main	100	Center	0	    	81500	70000	80500	73500	5000	3500
CV-240	2	1400	40	248	True	Convair 240	DC3	R-2800-CB16	600	1545	100	Left Main,Right Main	100	    	0	    	42500	38150	42500	39800	3500	3500
CV-340	2	1200	44	244	True	Convair 340	DC3	PW R-2800	400	1000	300	Left Main,Right Main	100	    	0	    	42500	35275	42500	42500	2760	3970
CV-440	2	1200	44	244	True	Convair 440	DC3	PW R-2800	400	1000	300	Left Main,Right Main	100	    	0	    	47050	29500	47000	42500	5000	1500
CV-580	2	4000	52	295	True	Convair 580	DC3	Allison 501-D13	1000	1730	100	Left Main,Right Main	100	    	0	    	55000	49000	54600	52000	4000	4000
CV-880	4	2500	110	480	True	Convair CV-880	DC8	GE CJ805-3	2700	7000	1500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	185500	175000	184500	180000	7500	4000
CV-990	4	4000	110	500	True	Convair CV-990	DC8	GE CJ805-23	2950	8000	2250	Left Main,Right Main	90	Left Aux,Right Aux	0	    	254000	175000	253000	200000	8000	4000
DC-10-10	3	4500	250	460	True	McDonnell-Douglas DC-10 Series 10	MD11	GE CF6-6	4520	6000	2000	Center,Left Main,Right Main	100	    	0	    	435000	335000	430000	400000	8500	5500
DC-10-30	3	6500	250	460	True	McDonnell-Douglas DC-10 Series 30	MD11	GE CF6-50	4625	6000	2000	Center,Left Main,Right Main	100	    	0	    	583000	335000	580000	410000	9000	5500
DC-10-40	3	6500	250	460	True	McDonnell-Douglas DC-10 Series 40	MD11	P&W JT9D	5700	6000	2000	Center,Left Main,Right Main	100	    	0	    	532000	368000	530000	403000	9000	5500
DC-2	2	1085	14	151	True	Douglas DC-2	DC-3	Wright SGR-1820-F52 Cyclone	325	500	49	Left Main,Left Aux,Right Main,Right Aux	0	Center,Center 2	0	    	18600	16000	18561	18000	800	1200
DC-3	2	1600	26	178	True	Douglas DC-3	DC3	895-kW Pratt and Whitney R-1830	325	500	49	Left Main,Left Aux,Right Main,Right Aux	0	Center,Center 2	0	    	26900	22375	26900	26200	1500	2080
DC-4	4	4250	74	180	True	Douglas DC-4	DC3	P&W Twin Wasp R-2000	680	800	200	Left Main,Right Main	100	    	0	    	73000	1	73000	63500	2000	2000
DC-6	4	3900	76	501	True	Douglas DC-6	DC6	R-2800-CA-15	653	2000	100	Left Main,Right Main	100	Left Aux,Right Aux	0	    	107000	67970	97200	91185	5000	3900
DC-6B	4	4100	89	501	True	Douglas DC-6B	DC6	R-2800-CB-17	632	2000	100	Left Main,Right Main	100	Left Aux,Right Aux	0	    	107000	83200	107000	91189	5900	3900
DC-7	4	4605	102	270	True	Douglas DC-7	DC6	Wright R3350	693	1000	300	Center,Left Main,Right Main	100	    	0	    	143500	109000	143000	109000	6360	6100
DC-7C	4	5934	105	272	True	DC-7C Seven Seas	DC6	Wright R-3350-988T	800	1600	600	Left Aux,Right Aux,External,External 2	90	    	90	    	143000	101500	136700	111000	6360	5100
DC-8-11	4	2250	132	450	True	Douglas DC-8 Series 11	DC8	P&W JT3C	3850	5000	2500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	261500	0	260500	190500	0	0
DC-8-21	4	2250	132	450	True	DC-8 Series 21	DC8	P&W JT4A	3750	5000	2500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	277000	0	276000	193000	0	0
DC-8-33	4	6250	132	450	True	Douglas DC-8 Series 33	DC8	P&W JT4A	3350	5000	2000	Left Main,Right Main	90	Left Aux,Right Aux	0	    	316000	215000	315000	207000	9000	6000
DC-8-42	4	3250	132	450	True	Douglas DC-8 Series 42	DC8	RR Conway 509	3200	6000	2000	Left Main,Right Main	90	Left Aux,Right Aux	0	    	311000	0	310000	199500	0	0
DC-8-51	4	3750	132	480	True	Douglas DC-8 Series 51	DC8	P&W JT3D-3	3150	6000	2000	Left Main,Right Main	90	Left Aux,Right Aux	0	    	277000	0	276000	199500	0	0
DC-8-61	4	5846	210	460	True	Douglas DC-8 Series 61	DC8	P&W JT3D-3B	3250	6000	1500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	326000	0	325000	240000	5000	4000
DC-8-62	4	5990	169	460	True	Douglas DC-8 Series 62	DC8	P&W JT3D-3B	2800	6000	1750	Left Main,Right Main	100	Left Aux,Right Aux	0	    	336000	0	335000	240000	0	0
DC-8-63	4	4725	210	465	True	Douglas DC-8 Series 63	DC8	P&W JT3D-7	2850	6000	2000	Left Main,Right Main	100	Left Aux,Right Aux	0	    	354000	0	350000	245000	0	0
DC-8-71	4	6095	210	450	True	Douglas DC-8 Series 71	DC8	CFM56-2	2700	7500	2500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	326000	224000	325000	240000	0	0
DC-8-72	4	6095	169	450	True	Douglas DC-8 Series 72	DC8	CFM56-2	2700	7500	2500	Left Main,Right Main	90	Left Aux,Right Aux	0	    	336000	195000	335000	240000	0	0
DC-9-14	2	1831	82	450	True	Douglas DC-9 Series 14	DC9	P&W JT8D-9	3000	4500	500	Left Main,Right Main	95	Center	0	    	91500	74000	90700	81700	5000	4400
DC-9-21	2	2012	82	430	True	Douglas DC-9 Series 21	DC9	P&W JT8D-11	3150	4500	500	Left Main,Right Main	95	Center	0	    	98000	78000	98000	96000	4000	3800
DC-9-32	2	2000	105	450	True	Douglas DC-9 Series 32	DC9	P&W JT8D-9	3200	4500	500	Left Main,Right Main	95	Center	0	    	111000	87000	110000	98100	4500	4200
DC-9-40	2	1789	115	450	True	Douglas DC-9 Series 40	DC9	P&W JT8D-11	3100	4500	500	Left Main,Right Main	95	Center,Center 2	0	    	114000	93000	112500	107000	4500	4500
DC-9-50	2	2065	135	440	True	Douglas DC-9 Series 50	DC9	P&W JT8D-15	3150	4500	500	Left Main,Right Main	95	Center,Center 2	0	    	121000	98000	121000	110000	4500	3900
DHC-6	2	891	19	180	False	de Havilland Canada DHC-6 Twin Otter	E120	PT6A-34	468	100	50	Left Main,Right Main	90	Left Aux,Right Aux	0	    	12500	7415	12500	12300	860	950
DHC-7	4	782	50	215	False	de Havilland Canada DHC-7 Quad Otter	E120	PT6A-50	435	100	50	Left Main,Right Main	90	Left Aux,Right Aux	90	    	44000	39000	44000	42000	2260	1950
DHC-8-100	2	1174	37	300	False	de Havilland Canada DHC-8 / Bombardier Dash-8	E120	PW120A	950	2000	250	Left Main,Right Main	99	    	0	    	38000	32400	34500	34500	2625	3865
DHC-8-Q400	2	1567	78	360	False	de Havilland Canada DHC-8 / Bombardier Dash-8	E120	PW150A	900	2000	250	Left Main,Right Main	99	    	0	    	70000	57000	64500	61750	3600	3865
DO-228	2	715	19	300	False	Dornier DO-228	E120	Garrett TPE331-5	500	1500	200	Left Main,Right Main	90	Center	0	    	15550	12214	14550	12550	800	450
DO-328JET	2	1200	32	400	True	DO-328	CRJ	Pratt & Whitney Canada / PW 306B	500	1500	200	Center	0	    	0	    	34750	27800	34524	31000	3570	2115
EMB-110	2	785	18	212	False	Embraer EMB-110 Bandit	E120	P&W Canada PT6A-34	400	200	100	Left Main,Right Main	100	    	0	    	13010	11990	13010	12566	1230	1410
EMB-120	2	1570	30	260	False	Embraer EMB-120 Brasilia	E120	P&W Canada PW118	400	200	100	Left Main,Right Main	100	    	0	    	25500	24030	25353	24802	5118	4528
ERJ-135	2	1500	37	445	False	Embraer ERJ-135	CRJ	RR Allison AE3007	1400	2000	1000	Left Main,Right Main	100	    	0	    	44092	34392	43900	41000	5381	4462
ERJ-145	2	2300	50	420	False	Embraer ERJ-145	CRJ	RR Allison AE3007	1500	1000	500	Left Main,Right Main	100	    	0	    	53951	39462	53131	44092	7448	4593
ERJ-170	2	2472	70	460	False	Embraer ERJ-170	B737	GE CF34-8E	2050	3000	1500	Left Main,Right Main	95	Center	0	    	85451	68123	85098	73414	4799	3999
ERJ-175	2	2530	78	460	False	Embraer ERJ-175	B737	GE CF34-8E	2050	3000	1500	Left Main,Right Main	100	Center	0	    	89393	70548	89000	75178	4154	4137
