IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
INC,ZLIC,Yinchuan China,38.3217,106.392,28800,11830,"MU,CZ"
YIN,ZWYN,Yining China,43.9558,81.3303,28800,2500,
YIW,ZSYW,Yiwu China,29.3447,120.032,28800,9843,
JOG,WIIJ,Yogyakarta Indonesia,-7.7881,110.432,25200,2500,
YNG,KYNG,Youngstown OH,41.2614,-80.6803,-18000,9018,NW
YIP,KYIP,Ypsilanti MI,42.2367,-83.5292,-18000,7526,"DVH,NW"
YUM,KNYL,Yuma AZ,32.6564,-114.606,-25200,13318,"RW,DVH"
UUS,UHSS,Yuzhno-Sakhalinsk Russia,46.8886,142.717,43200,11192,SUD
ZCL,MMZC,Zacatecas Mexico,22.8967,-102.687,-21600,9929,"AM,DVH"
ZAD,LDZD,Zadar Croatia,44.1081,15.3467,3600,8224,
ZAG,LDZA,Zagreb Croatia,45.7428,16.0681,3600,10667,"SUD,AF,KL"
ZAH,OIZH,Zahedan Intl Iran,29.4731,60.9031,12600,13977,
ZTH,LGZA,Zakinthos Greece,37.7508,20.8842,7200,7316,
ZNZ,HTZA,Zanzibar Tanzania,-6.2186,39.2244,10800,9982,"KQD,KQ"
OZH,UKDE,Zaporizhzya Ukraine,47.8669,35.315,7200,8216,
ZAZ,LEZG,Zaragoza Spain,41.6653,-1.0411,3600,12189,
DYG,ZGDY,Zhangjiajie Hunan China,29.1028,110.443,25200,8524,
ZHA,ZGZJ,Zhanjiang China,21.2664,110.467,28800,2500,
CGO,ZHCC,Zhengzhou China,34.5192,113.841,28800,11146,FM
HJJ,ZGCJ,Zhi Jiang China,27.4414,109.7,28800,2500,
HSN,ZSZS,Zhoushan-Zhejiang China,29.9342,122.362,28800,8202,
ZUH,ZGSD,Zhuhai China,22.0156,113.386,28800,13137,CZ
ZIG,GOGG,Ziguinchor Senegal,12.5558,-16.2747,0,5031,
ILZ,LZZI,Zilina Slovakia,49.2333,18.7664,3600,3757,
ZND,DRZR,Zinder Niger,13.7839,8.9903,3600,6000,
OUZ,GQPZ,Zouérate-Tazadit Mauritania,22.7564,-12.4836,0,2500,
ZRH,LSZH,Zurich Switzerland,47.4642,8.5492,3600,12177,"SUD,AF,DL,DVH,KQD,KLD,KL,PAH"
AES,ENAL,Ålesund Norway,62.5603,6.1103,3600,7575,KL
ILP,NWWE,Île des Pins New Caledonia,-22.5889,167.456,39600,4113,
OER,ESNO,Örnsköldsvik Sweden,63.4078,18.9922,3600,6588,
DAD,VVDN,?à-N?ng Vietnam,16.0431,108.1989,25200,10044,"MUD,VND,VN"
