IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
TMR,DAAT,Tamanrasset Algeria,22.8108,5.4506,3600,11881,
TUD,GOTT,Tambacounda Senegal,13.7369,-13.6531,0,6534,
WTA,FMMU,Tambohorano Madagascar,-17.4869,43.9725,10800,3281,
TMC,WADT,Tambolaka Indonesia,-9.4097,119.244,25200,2500,
THT,GQNT,Tamchakett Mauritania,17.2442,-10.82,0,3609,
TPA,KTPA,Tampa/St Petersburg FL,27.975,-82.5331,-18000,11049,"DL,DVH,NA,NW,PAH"
TMP,EFTP,Tampere Finland,61.4153,23.5878,7200,8835,
TAM,MMTM,Tampico Mexico,22.2964,-97.8656,-21600,8464,"AM,NW,PAH"
TMW,YSTW,Tamworth Australia,-31.0839,150.847,39600,7221,VA
TNG,GMTT,Tangier Morocco,35.7314,-5.9164,0,11477,KLD
TJQ,WIOD,Tanjung Pandan Indonesia,-2.7456,107.7547,25200,2500,
#NAME?,WIKD,Tanjung Pandang Indonesia,-2.7578,107.7586,25200,2500,
TNJ,WIDN,Tanjung Pinang Indonesia,0.9225,104.5317,25200,4624,
BEJ,WALK,Tanjung Redep Indonesia,2.1553,117.432,28800,2500,
TSX,WALT,Tanjung Santan Indonesia,-0.0931,117.4389,28800,4757,
TAP,MMTP,Tapachula Mexico,14.7942,-92.37,-21600,6590,AM
TRK,WALR,Tarakan Indonesia,3.3264,117.566,28800,2500,KLD
TPP,SPST,Tarapoto Peru,-6.5086,-76.3731,-18000,8570,
TGM,LRTM,Targu Mures Romania,46.4675,24.4125,7200,6572,
TAS,UTTT,Tashkent Uzbekistan,41.2569,69.2817,18000,13107,SUD
TAT,LZTT,Tatry Slovakia,49.0736,20.2411,3600,8527,
TBS,UGTB,Tbilisi Georgia,41.6689,44.9539,10800,9843,SUD
TCH,FOOT,Tchibanga Gabon,-2.8917,10.9589,3600,5923,
TEE,DABS,Tebessa Algeira,35.4322,8.1256,3600,9834,
MME,EGNV,Tees-Side United Kingdom,54.5092,-1.4278,0,7511,KL
TFF,SBTF,Tefe Brazil,-3.3803,-64.7253,-14400,7269,PAH
TGU,MHTG,Tegucigalpa Honduras,14.0603,-87.2167,-21600,6830,"DL,NW,PAH"
IKA,OIIE,Teheran Iran,35.4156,51.1517,12600,13757,SUD
THR,OIII,Tehran Iran,35.6881,51.3142,12600,13236,"KLD,PAH"
TLV,LLBG,Tel Aviv Israel,32.0092,34.8767,7200,12909,"SUD,AF,DL,DVH,KLD,KL"
TEX,KTEX,Telluride CO,37.9533,-107.9083,-25200,7059,DVH
TFN,GCXO,Tenerife-Norte Spain,28.4828,-16.3417,-3600,11131,UX
TFS,GCTS,Tenerife-South Spain,28.0439,-16.5717,-3600,10496,"SUD,HVD"
THE,SBTE,Teresina Brazil,-5.0606,-42.8242,-7200,7287,
TTE,WAMT,Ternate Indonesia,0.8308,127.38,32400,2500,KLD
YXT,CYXT,Terrace BC Canada,54.4683,-128.578,-28800,7495,WSH
TXK,KTXK,Texarkana AR,33.4533,-93.9908,-21600,6604,DVH
HTX,EHTX,Texel Netherlands,53.1211,4.8381,3600,3660,KLD
SKG,LGTS,Thessaloniki Greece,40.5189,22.9706,7200,7996,"SUD,ROH,HVD"
TVF,KTVF,Thief River Falls MN,48.0653,-96.1831,-21600,6515,"NCA,NW"
THD,VVTX,Tho Xuan Vietnam,19.9025,105.469,25200,10499,VN
TTH,OOTH,Thumrait AB Oman,17.6661,54.0247,14400,13123,
YQT,CYQT,Thunder Bay ON Canada,48.3717,-89.3239,-21600,7254,"NCA,NW,WSH"
TSN,ZBTJ,Tianjin China,39.1256,117.358,28800,11830,VN
TID,DAOB,Tiaret Algeria,35.3408,1.4669,3600,9882,
THI,GQNC,Tichitt Mauritania,18.4564,-9.5083,0,8711,
TIY,GQND,Tidjikja Mauritania,18.57,-11.4236,0,2500,
TIJ,MMTJ,Tijuana Mexico,32.5406,-116.97,-28800,9716,"AM,DVH"
TIH,NTGC,Tikehau Atoll French Polynesia,-15.1197,-148.231,-39600,3937,
N.A,UEST,Tiksi Russia,71.6947,128.899,32400,9790,
TMD,GQNH,Timbedra Mauritania,16.2433,-8.1756,0,4101,
TIM,WABP,Timika Indonesia,-4.5281,136.887,32400,2500,
TSR,LRTR,Timisoara Romania,45.8089,21.3378,7200,11426,ROH
TIQ,PGWT,Tinian Mariana Islands,14.9992,145.619,36000,8596,NW
TIA,LATI,Tirana Albania,41.4142,19.7206,3600,9054,"AZ,AZD"
TRZ,VOTR,Tiruchirappalli India,10.7656,78.715,19800,6115,
TIV,LYTV,Tivat Montenegro,42.4044,18.7231,3600,8207,SUD
TMM,FMMT,Toamasina Madagascar,-18.1156,49.3931,10800,7282,
TAB,TTCP,Tobago Trinidad and Tobago,11.1492,-60.8317,-14400,9001,
TKS,RJOS,Tokushima Japan,34.1328,134.607,32400,8170,
HND,RJTT,Tokyo-Haneda Japan,35.5525,139.781,32400,11052,"AF,DL,DVH,GA,KLD,NW,PAH,VN"
NRT,RJAA,Tokyo-Narita Japan,35.7642,140.3858,32400,13151,"SUD,AM,AF,CI,DL,DVH,KL,KE,KEH,NW,VN"
TOL,KTOL,Toledo OH,41.5869,-83.8078,-18000,10589,"DVH,NW"
TLE,FMST,Toliara Madagascar,-23.3894,43.7253,10800,6580,
TLC,MMTO,Toluca Mexico,19.3367,-99.5656,-21600,14032,AM
TOM,GATB,Tombouctou Mali,16.7397,-3.0122,0,7122,
TOF,UNTT,Tomsk Russia,56.3831,85.2106,21600,8197,SUD
TVY,KTVY,Tooele UT,40.6122,-112.351,-25200,6117,DL
FOE,KFOE,Topeka KS,38.9506,-95.6631,-21600,12823,NW
YYZ,CYYZ,Toronto ON Canada,43.6756,-79.6303,-18000,11134,"AF,DL,DVH,KL,NCA,NW,SV,WS,WSH"
TRF,ENTO,Torp Norway,59.1867,10.2581,3600,9656,KL
TRC,MMTC,Torreon Mexico,25.5681,-103.411,-21600,9034,"AM,NW"
